,count,mean,std,min,25%,50%,75%,max
CLIMA_ws_noite_25p,3000096.0,2.0246107824549604,1.525253001136359,0.0,0.8,1.9,3.0,7.8
CLIMA_ws_noite_50p,3000096.0,3.0727334225304803,2.008857573685033,0.0,1.5,2.8,4.3,10.9
CLIMA_ws_noite_75p,3000096.0,4.315008829717444,2.6214163032566806,0.0,2.4,3.8,5.95,15.22
CLIMA_ws_noite_max,3000096.0,8.767599736808421,4.763205124926068,0.0,5.5,7.7,11.5,40.0
CLIMA_ws_noite_mean,3000096.0,3.2679831345396932,2.002956490388971,0.0,1.69,2.94,4.6,10.03
CLIMA_ws_noite_min,3000096.0,0.2267319445777737,0.4637387305811327,0.0,0.0,0.0,0.3,3.6
CLIMA_ws_noite_std,3000096.0,1.6918589105148645,1.0113772074350016,0.0,1.0,1.39,2.18,7.84
CONST_ThermalConductance_COB,3000096.0,3.2608925314389943,5.220896570372807,0.49,0.7,0.72,3.1,19.44
CONST_ThermalConductance_PAR_EXT,3000096.0,4.724733728520685,4.381612394055045,0.23,1.01,4.36,5.25,17.5
CONST_ThermalConductance_PISO_TERREO,3000096.0,9.479471656906972,10.332784164954719,0.82,0.88,7.5,8.75,35.0
CONST_cob_CT,3000096.0,217.33250623980044,168.38714380257616,22.3,49.44,228.57,239.41,550.0
CONST_laje_CT,3000096.0,250.4130543822599,149.38391235963363,23.0,110.0,220.0,440.0,440.0
CONST_par_ext_CT,3000096.0,176.9983762119613,110.88259240520176,17.69,119.45,158.9,236.0,440.0
EPW_Elevation,3000096.0,601.1257403763079,554.1479182963807,0.0,58.8,519.0,1018.0,1810.0
EPW_Latitude,3000096.0,-17.18858848516847,9.091293741740065,-33.7,-25.0,-18.9,-8.1,3.85
MAR_azi_resto,3000096.0,0.028004703849476852,26.006717161888076,-44.99000000000001,-22.50999999999999,0.1299999999999977,22.61000000000001,45.0
MAR_wall_area_apt,3000096.0,17.758085916263223,21.88806006223664,0.0,0.0,11.952224900000001,27.127362780000006,120.69
MAR_wall_area_dorm,3000096.0,38.311332839665134,23.442064570441747,4.717594999999998,20.9622,32.61141000000001,49.38300000000001,146.70000000000005
MAR_wall_area_sala,3000096.0,29.31544284451008,28.32415729553802,0.0,9.71556894,20.140848000000002,39.80408,168.96599999999995
SAMPLE_blind,3000096.0,0.4999000031998976,0.5000000733313257,0.0,0.0,0.0,1.0,1.0
SAMPLE_openFactor,3000096.0,0.5249542814629933,0.27425296518226794,0.05,0.29,0.52,0.76,1.0
SAMPLE_roof_abs,3000096.0,0.5499924402419127,0.20214971654716224,0.2,0.37,0.55,0.73,0.9
SAMPLE_shgc,3000096.0,0.5499350820773738,0.2021010488982831,0.2,0.37,0.55,0.72,0.9
SAMPLE_uVidro,3000096.0,4.250395147355287,1.0104677950121355,2.5,3.38,4.25,5.13,6.0
SAMPLE_wall_abs,3000096.0,0.5499978400691177,0.2021416761964773,0.2,0.37,0.55,0.73,0.9
OUT_TOMax,3000096.0,26.464464070483054,4.835108042642604,11.37,23.07,26.84,29.81,59.28
OUT_TOMin,3000096.0,20.176603502021266,4.87063785433187,-3.22,17.77,20.35,23.63,39.11
OUT_PHFT,3000096.0,65.72262423602449,36.56559216064714,0.0,33.33,81.29,99.67,100.0
OUT_PHFFT_Calor,3000096.0,21.06826917538641,32.16471470448432,0.0,0.0,0.65,34.17,100.0
OUT_PHFFT_Frio,3000096.0,13.209108171871849,29.255662253666557,0.0,0.0,0.0,1.0,100.0
OUT_CgTT,3000096.0,228.2817042187983,374.34410464021903,0.0,0.82,69.87,301.52,6926.82
OUT_CgTT_Cooling,3000096.0,174.3622145224686,365.29169276093296,0.0,0.0,2.93,178.93,6926.82
OUT_CgTT_Heating,3000096.0,53.91948960966583,159.40073849324062,0.0,0.0,0.0,0.95,3774.68
